1,1,1,NULL
2,2,2,NULL
3,3,3,NULL
4,4,4,NULL
5,5,5,NULL
6,6,6,NULL
7,7,7,NULL
8,8,8,NULL
9,9,9,NULL
10,10,10,NULL
11,11,11,NULL
12,12,12,NULL
13,13,13,NULL
14,14,14,NULL
15,15,15,NULL
16,16,16,NULL
17,17,17,NULL
18,18,18,NULL
19,19,19,NULL
20,20,20,NULL
21,21,21,NULL
22,22,22,NULL
23,23,23,NULL
24,24,24,NULL
25,25,25,NULL
26,26,26,NULL
27,27,27,NULL
28,28,28,NULL
29,29,29,NULL
30,30,30,NULL
31,31,31,NULL
32,32,32,NULL
33,33,33,NULL
34,34,34,NULL
35,35,35,NULL
36,36,36,NULL
37,37,37,NULL
38,38,38,NULL
39,39,39,NULL
40,40,40,NULL
41,41,41,NULL
42,42,42,NULL
43,43,43,NULL
44,44,44,NULL
45,45,45,NULL
46,46,46,NULL
47,47,47,NULL
48,48,48,NULL
49,49,49,NULL
50,50,50,NULL
51,51,51,NULL
52,52,52,NULL
53,53,53,NULL
54,54,54,NULL
55,55,55,NULL
56,56,56,NULL
57,57,57,NULL
58,58,58,NULL
59,59,59,NULL
60,60,60,NULL
61,61,61,NULL
62,62,62,NULL
63,63,63,NULL
64,64,64,NULL
65,66,66,NULL
66,67,67,NULL
67,68,68,NULL
68,69,69,NULL
69,70,70,NULL
70,71,71,NULL
71,72,72,NULL
72,73,73,NULL
73,74,74,NULL
74,75,75,NULL
75,76,76,NULL
76,77,77,NULL
77,78,78,NULL
78,79,79,NULL
79,80,80,NULL
80,81,81,NULL
81,82,82,NULL
82,83,83,NULL
83,84,84,NULL
84,85,85,NULL
85,86,86,NULL
86,87,87,NULL
87,88,88,NULL
88,89,89,NULL
89,90,90,NULL
90,91,91,NULL
91,93,93,NULL
92,94,94,NULL
93,95,95,NULL
94,96,96,NULL
95,97,97,NULL
96,98,98,NULL
97,99,99,NULL
98,100,100,NULL
99,101,101,NULL
100,102,102,NULL
101,103,103,NULL
102,104,104,NULL
103,105,105,NULL
104,106,106,NULL
105,107,107,NULL
106,108,108,NULL
107,109,109,NULL
108,110,110,NULL
109,111,111,NULL
110,112,112,NULL
