1,168,2,1,0,179,0
2,169,2,1,0,180,0
3,170,2,1,0,181,0
4,171,2,1,0,182,0
5,172,2,1,1,183,194
6,173,2,1,1,184,195
7,174,2,1,1,185,196
8,175,2,1,1,186,197
9,176,2,1,1,187,198
10,177,2,1,1,188,199
11,178,2,1,0,189,0
12,179,2,0,1,0,168
13,180,2,0,1,0,169
14,181,2,0,1,0,170
15,182,2,0,1,0,171
16,183,2,1,1,190,172
17,184,2,1,1,191,173
18,185,2,0,1,0,174
19,186,2,0,1,0,175
20,187,2,1,1,192,176
21,188,2,1,1,193,177
22,189,2,0,1,0,178
23,190,2,0,1,0,183
24,191,2,0,1,0,184
25,192,2,0,1,0,187
26,193,2,0,1,0,188
27,194,2,1,0,172,0
28,195,2,1,0,173,0
29,196,2,1,0,174,0
30,197,2,1,0,175,0
31,198,2,1,0,176,0
32,199,2,1,0,177,0
